route,date,day_type,rides
77,2001-01-04,W,17775
78,2001-01-01,U,2353
78,2001-01-02,W,8027
78,2001-01-03,W,7320
78,2001-01-04,W,8399
79,2001-01-01,U,14683
79,2001-01-02,W,24965
79,2001-01-03,W,25587
79,2001-01-04,W,27047
80,2001-01-01,U,3966
80,2001-01-02,W,11825
80,2001-01-03,W,10881
80,2001-01-04,W,10654
81,2001-01-01,U,5726
81,2001-01-02,W,12366
81,2001-01-03,W,12450
81,2001-01-04,W,14784
82,2001-01-01,U,5812
82,2001-01-02,W,14423
82,2001-01-03,W,14486
82,2001-01-04,W,16642
84,2001-01-01,U,843
84,2001-01-02,W,3588
84,2001-01-03,W,3450
84,2001-01-04,W,3703
85,2001-01-01,U,4143
85,2001-01-02,W,9836
85,2001-01-03,W,10954
85,2001-01-04,W,11753
87,2001-01-01,U,4577
87,2001-01-02,W,11749
87,2001-01-03,W,13299
87,2001-01-04,W,15132
88,2001-01-01,U,408
88,2001-01-02,W,1223
88,2001-01-03,W,1428
88,2001-01-04,W,1849
90,2001-01-01,U,819
90,2001-01-02,W,3825
90,2001-01-03,W,3510
90,2001-01-04,W,4148
91,2001-01-01,U,1870
91,2001-01-02,W,5559
91,2001-01-03,W,6404
91,2001-01-04,W,7689
92,2001-01-01,U,1694
92,2001-01-02,W,5877
92,2001-01-03,W,6467
92,2001-01-04,W,6539
94,2001-01-01,U,2540
94,2001-01-02,W,7840
94,2001-01-03,W,9009
94,2001-01-04,W,9404
97,2001-01-01,U,945
97,2001-01-02,W,2929
97,2001-01-03,W,3357
97,2001-01-04,W,3682
103,2001-01-01,U,869
103,2001-01-02,W,2100
103,2001-01-03,W,3120
103,2001-01-04,W,3144
106,2001-01-01,U,326
106,2001-01-02,W,1251
106,2001-01-03,W,1305
106,2001-01-04,W,1336
111,2001-01-01,U,1507
111,2001-01-02,W,4488
111,2001-01-03,W,4563
111,2001-01-04,W,4895
112,2001-01-01,U,713
112,2001-01-02,W,2613
112,2001-01-03,W,3137
112,2001-01-04,W,2777
119,2001-01-01,U,2159
119,2001-01-02,W,4456
119,2001-01-03,W,3810
119,2001-01-04,W,4730
126,2001-01-01,U,2689
126,2001-01-02,W,7353
126,2001-01-03,W,7635
126,2001-01-04,W,8278
145,2001-01-01,U,1379
145,2001-01-02,W,6121
145,2001-01-03,W,7731
145,2001-01-04,W,8352
146,2001-01-01,U,2191
146,2001-01-02,W,9272
146,2001-01-03,W,9649
146,2001-01-04,W,8858
151,2001-01-01,U,9882
151,2001-01-02,W,21861
151,2001-01-03,W,22647
151,2001-01-04,W,22725
152,2001-01-01,U,1734
152,2001-01-02,W,8511
152,2001-01-03,W,7689
152,2001-01-04,W,8853
155,2001-01-01,U,2540
155,2001-01-02,W,6756
155,2001-01-03,W,6790
155,2001-01-04,W,6603
171,2001-01-01,U,15
171,2001-01-02,W,257
171,2001-01-03,W,771
171,2001-01-04,W,584
172,2001-01-01,U,2
172,2001-01-02,W,389
172,2001-01-03,W,661
172,2001-01-04,W,792
173,2001-01-01,U,69
173,2001-01-02,W,164
173,2001-01-03,W,149
173,2001-01-04,W,161
201,2001-01-01,U,186
201,2001-01-02,W,1136
201,2001-01-03,W,1158
201,2001-01-04,W,893
49B,2001-01-01,U,1571
49B,2001-01-02,W,4297
49B,2001-01-03,W,4678
49B,2001-01-04,W,4855
52A,2001-01-01,U,1451
52A,2001-01-02,W,5056
52A,2001-01-03,W,4994
52A,2001-01-04,W,5503
53A,2001-01-01,U,1104
53A,2001-01-02,W,5778
53A,2001-01-03,W,6469
53A,2001-01-04,W,6679
54B,2001-01-01,U,1640
54B,2001-01-02,W,4619
54B,2001-01-03,W,4384
54B,2001-01-04,W,4988
63W,2001-01-01,U,316
63W,2001-01-02,W,1842
63W,2001-01-03,W,2036
63W,2001-01-04,W,2122
81W,2001-01-01,U,200
81W,2001-01-02,W,1564
81W,2001-01-03,W,1791
81W,2001-01-04,W,1831
8A,2001-01-01,U,1008
8A,2001-01-02,W,2421
8A,2001-01-03,W,2743
8A,2001-01-04,W,2746
95E,2001-01-01,U,3418
95E,2001-01-02,W,5109
95E,2001-01-03,W,4857
95E,2001-01-04,W,5752
95W,2001-01-01,U,2201
95W,2001-01-02,W,4979
95W,2001-01-03,W,3794
