Calendar_Year,Calendar_Month,route,rides
2019,1,2,2985.590909090909
2019,1,15,5319.8387096774195
2019,1,18,2710.1290322580644
2019,1,20,12766.6
2019,1,34,3438.6774193548385
2019,1,35,3364.032258064516
2019,1,37,1408.3181818181818
2019,1,39,1265.774193548387
2019,1,43,977.2142857142857
2019,1,44,2174.2903225806454
2019,1,143,1609.590909090909
2019,1,147,8529.806451612903
2019,1,151,11107.736842105263
2019,1,152,6490.225806451613
2019,1,155,4786.225806451613
2019,1,156,6155.318181818182
2019,1,157,4804.5
2019,1,165,170.27272727272728
2019,1,169,115.24
2019,1,171,965.483870967742
2019,1,172,1592.4193548387098
2019,1,192,734.3181818181819
2019,1,1,1587.3181818181818
2019,1,100,397.22727272727275
2019,1,1001,107.29032258064517
2019,1,103,1409.9354838709678
2019,1,106,878.516129032258
2019,1,108,858.4545454545455
2019,1,11,1053.6451612903227
2019,1,111,2272.8064516129034
2019,1,111A,132.70967741935485
2019,1,112,1291.4193548387098
2019,1,115,2168.2258064516127
2019,1,119,3043.7096774193546
2019,1,12,8659.774193548386
2019,1,120,819.0909090909091
2019,1,121,1043.0
2019,1,124,719.6451612903226
2019,1,125,1091.909090909091
2019,1,126,3495.7419354838707
2019,1,128,1014.0
2019,1,134,2580.181818181818
2019,1,135,3028.181818181818
2019,1,136,1659.8181818181818
2019,1,146,9233.709677419354
2019,1,148,2122.3636363636365
2019,1,151,10898.083333333334
2019,1,19,174.92307692307693
2019,1,20,12003.142857142857
2019,1,201,1920.2692307692307
2019,1,206,513.9090909090909
2019,1,21,6017.419354838709
2019,1,22,12820.387096774193
2019,1,24,2193.909090909091
2019,1,26,3584.5
2019,1,28,4049.064516129032
2019,1,29,7690.096774193548
2019,1,3,11428.58064516129
2019,1,30,2127.935483870968
2019,1,31,390.3636363636364
2019,1,36,9744.548387096775
2019,1,4,14214.41935483871
2019,1,43,1000.7647058823529
2019,1,47,6610.096774193548
2019,1,48,756.8181818181819
2019,1,49,12196.838709677419
2019,1,49B,3815.6451612903224
2019,1,5,345.7741935483871
2019,1,50,6930.225806451613
2019,1,51,895.483870967742
2019,1,52,8588.838709677419
2019,1,52A,2670.0
2019,1,53,13334.225806451614
2019,1,53A,4714.290322580645
2019,1,54,7249.8387096774195
2019,1,54A,593.3181818181819
2019,1,54B,1896.3548387096773
2019,1,55,6768.322580645161
2019,1,55A,268.72727272727275
2019,1,55N,412.84615384615387
2019,1,56,6163.967741935484
2019,1,57,1620.4193548387098
2019,1,59,2474.1923076923076
2019,1,6,6799.645161290323
2019,1,60,7429.709677419355
2019,1,62,7064.387096774193
2019,1,62H,676.3461538461538
2019,1,63,11137.870967741936
2019,1,63W,1031.4193548387098
2019,1,65,5830.1612903225805
2019,1,66,15835.225806451614
2019,1,67,7041.451612903225
2019,1,68,754.258064516129
2019,1,7,4299.454545454545
2019,1,70,6172.193548387097
2019,1,71,6670.903225806452
2019,1,72,10296.225806451614
2019,1,73,3701.3548387096776
2019,1,74,8523.645161290322
2019,1,75,5061.548387096775
2019,1,76,8148.258064516129
2019,1,77,14425.58064516129
2019,1,78,5335.709677419355
2019,1,79,17953.032258064515
2019,1,8,15088.41935483871
2019,1,80,7732.548387096775
2019,1,81,8488.516129032258
2019,1,81W,1114.0645161290322
2019,1,82,12069.935483870968
2019,1,84,2573.8387096774195
2019,1,85,6577.0
2019,1,85A,512.3076923076923
2019,1,86,1901.4545454545455
2019,1,87,8160.419354838709
2019,1,88,835.0645161290323
2019,1,8A,1947.516129032258
2019,1,9,13239.612903225807
2019,1,90,2879.483870967742
2019,1,91,4363.322580645161
2019,1,92,4294.0
2019,1,93,2629.846153846154
2019,1,94,5543.225806451613
2019,1,95,3924.064516129032
2019,1,96,675.7727272727273
2019,1,97,2076.548387096774
2019,1,J14,7490.064516129032
2019,1,X49,5509.363636363636
2019,1,X9,6956.681818181818
2019,1,X98,11.904761904761905
2019,2,2,3579.05
2019,2,15,6243.571428571428
2019,2,18,3287.1428571428573
2019,2,20,13570.2
2019,2,34,3898.5714285714284
2019,2,35,3906.6071428571427
2019,2,37,1632.6
2019,2,39,1450.0
2019,2,43,1272.75
2019,2,44,2576.535714285714
2019,2,143,1772.3
2019,2,147,9699.92857142857
2019,2,151,11688.235294117647
2019,2,152,7672.321428571428
2019,2,155,5333.071428571428
2019,2,156,6864.0
2019,2,157,6835.55
2019,2,165,202.0
2019,2,169,138.13636363636363
2019,2,171,1133.25
2019,2,172,1820.392857142857
2019,2,192,849.3
2019,2,1,1813.7
2019,2,100,476.3
2019,2,1001,244.10714285714286
2019,2,103,1671.607142857143
2019,2,106,1101.6785714285713
2019,2,108,1023.05
2019,2,11,1232.7857142857142
2019,2,111,2685.0714285714284
2019,2,111A,146.42857142857142
2019,2,112,1509.892857142857
2019,2,115,2472.9285714285716
2019,2,119,3338.6428571428573
2019,2,12,10362.357142857143
2019,2,120,921.4
2019,2,121,1195.1
2019,2,124,805.0
2019,2,125,1181.4
2019,2,126,4130.285714285715
2019,2,130,466.4
2019,2,134,2842.45
2019,2,135,3390.1
2019,2,136,1876.8
2019,2,146,10767.142857142857
2019,2,148,2428.55
2019,2,151,13490.818181818182
2019,2,19,236.46666666666667
2019,2,20,14265.826086956522
2019,2,201,2341.5833333333335
2019,2,206,703.3
2019,2,21,7461.571428571428
2019,2,22,14338.285714285714
2019,2,24,2606.25
2019,2,26,4153.8
2019,2,28,4728.714285714285
2019,2,29,9075.785714285714
2019,2,3,13759.035714285714
2019,2,30,2535.464285714286
2019,2,31,583.05
2019,2,36,11050.464285714286
2019,2,4,16443.89285714286
2019,2,43,1001.8125
2019,2,47,7603.285714285715
2019,2,48,971.5
2019,2,49,13639.607142857143
2019,2,49B,4352.678571428572
2019,2,5,398.7857142857143
2019,2,50,8093.464285714285
2019,2,51,1128.75
2019,2,52,9965.214285714286
2019,2,52A,3097.5714285714284
2019,2,53,15162.25
